Segment_Index,Corridor,From,To,From_Rd,To_Rd,WB/SB,EB/NB
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450863107,1450785076
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450863079,1450785088
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450881471,1450785102
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450427123,1450881456
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450427164,1450863066
1,CR-78,US 169,CSAH 17,US 169,Marschall Rd,1450427149,1450863093
2,CR-17,CH 78,CH 42,CH 78,CH 42,1450850432,1450850446
3,CR-42,CSAH 17,CSAH 83,Marschall Road,Mystic Lake Dr ,1450644992,1450644979
3,CR-42,CSAH 17,CSAH 83,Marschall Road,Mystic Lake Dr ,1450645141,1450645127
3,CR-42,CSAH 17,CSAH 83,Marschall Road,Mystic Lake Dr ,1450645163,1450645150
4,CR-42,CSAH 83,CSAH 21,Mystic Lake Dr ,Eagle Creek Ave,1450534909,1450770609
4,CR-42,CSAH 83,CSAH 21,Mystic Lake Dr ,Eagle Creek Ave,1450535062,1450770708
4,CR-42,CSAH 83,CSAH 21,Mystic Lake Dr ,Eagle Creek Ave,1450535049,1450770695
5,CR-42,CSAH 21,CSAH 18,Eagle Creek Ave,Crest Ave NE,118+15512,118-15511
6,CR-42,CSAH 18,MN 13,Crest Ave NE,MN 13,118+15511,118-05713
7,CR-42,MN 13,CSAH 27,MN 13,Dakota Ave,118+05713,118-05294
8,CR-42,CSAH 27,Glendale Rd,Dakota Ave,Glendale Rd,118+05294,118-05293
9,CR-42,Glendale Rd,Burnsville Pkwy,Glendale Rd,X,118+05293,118-05292
